id,roll_no,mentor,trigger,playbook,approved_by_mentor,created_at,followup_at,status,outcome
IV00029,22ECE0072,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-11-24,2025-12-15,closed,unreachable
IV00030,23AER0081,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-11-17,2025-12-08,closed,improved
IV00031,23CHE0007,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-08-11,2025-09-01,closed,worsened
IV00032,22BIO0029,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,unchanged
IV00033,22EEE0004,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-08-11,2025-09-01,closed,improved
IV00034,23CIV0026,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-22,2025-10-13,closed,unchanged
IV00035,21CSE0018,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,unchanged
IV00036,23MEC0107,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00037,23CSE20061,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-11-10,2025-12-01,closed,improved
IV00038,21CIV0012,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00039,22BIO0114,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,worsened
IV00040,23CSE20112,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-11-17,2025-12-08,closed,improved
IV00041,21CHE0038,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,unreachable
IV00042,21MET0120,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-11,2025-09-01,closed,unchanged
IV00043,23AER0003,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,improved
IV00044,23AER0040,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-13,2025-11-03,closed,worsened
IV00045,23CIV20080,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-04,2025-08-25,closed,improved
IV00046,22EEE0047,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,improved
IV00047,21CHE0089,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-09-29,2025-10-20,closed,improved
IV00048,21AER0095,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-22,2025-10-13,closed,unchanged
IV00049,21IT0089,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-22,2025-10-13,closed,worsened
IV00050,21CSE0100,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-20,2025-11-10,closed,improved
IV00051,23MEC20059,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-20,2025-11-10,closed,unreachable
IV00052,22CSE0078,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-25,2025-09-15,closed,improved
IV00053,23CSE0021,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-15,2025-10-06,closed,improved
IV00054,23CSE0085,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-01,2025-09-22,closed,improved
IV00055,22ECE20056,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-08,2025-09-29,closed,improved
IV00056,23CIV20023,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-13,2025-11-03,closed,unreachable
IV00057,23CIV0076,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-08-04,2025-08-25,closed,worsened
IV00058,21ECE20040,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,unchanged
IV00059,21MEC20088,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-08-18,2025-09-08,closed,improved
IV00060,22CIV0023,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,improved
IV00061,21MEC20098,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00062,21CIV0061,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,unreachable
IV00063,23ECE0005,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-24,2025-12-15,closed,unreachable
IV00064,22ECE0054,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,improved
IV00065,23ECE0083,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,improved
IV00066,21BIO0030,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-08-25,2025-09-15,closed,unreachable
IV00067,21MET0073,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,improved
IV00068,23CSE20066,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,improved
IV00069,21CIV0054,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,improved
IV00070,21BIO0089,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,improved
IV00071,21CIV20032,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,unchanged
IV00072,22CSE20052,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-11-03,2025-11-24,closed,improved
IV00073,21ECE0001,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-09-08,2025-09-29,closed,improved
IV00074,22ECE0043,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,unreachable
IV00075,23CSE20097,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-11-03,2025-11-24,closed,improved
IV00076,23MEC20073,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,unchanged
IV00077,22BIO0080,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-03,2025-11-24,closed,improved
IV00078,21CIV20077,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-10-20,2025-11-10,closed,unreachable
IV00079,21CSE0120,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-10,2025-12-01,closed,unchanged
IV00080,21MET0062,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-11-24,2025-12-15,closed,improved
IV00081,21MEC20009,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-08,2025-09-29,closed,unchanged
IV00082,22CSE0089,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-17,2025-12-08,closed,unchanged
IV00083,23CIV0029,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-08-25,2025-09-15,closed,worsened
IV00084,23AER0057,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-22,2025-10-13,closed,improved
IV00085,21MEC20045,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-09-22,2025-10-13,closed,improved
IV00086,22ECE0037,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,improved
IV00087,21ECE0045,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-09-29,2025-10-20,closed,improved
IV00088,22CIV0082,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-03,2025-11-24,closed,unchanged
IV00089,21CSE20071,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,improved
IV00090,21CHE0098,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00091,21CIV0043,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,worsened
IV00092,21CSE0119,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-08-11,2025-09-01,closed,worsened
IV00093,21EEE0054,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00094,22IT0099,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,improved
IV00095,21CHE0066,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,improved
IV00096,21BIO0097,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,unreachable
IV00097,23ECE0048,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-04,2025-08-25,closed,worsened
IV00098,22IT0071,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,worsened
IV00099,23MEC0015,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,improved
IV00100,21ECE0018,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,unreachable
IV00101,23CHE0113,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,improved
IV00102,23IT0107,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-10,2025-12-01,closed,worsened
IV00103,22EEE0086,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-03,2025-11-24,closed,improved
IV00104,21ECE0056,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-13,2025-11-03,closed,improved
IV00105,23EEE0042,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,improved
IV00106,22MEC20055,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-11-17,2025-12-08,closed,unchanged
IV00107,23ECE0060,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00108,23CIV20119,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-11-17,2025-12-08,closed,improved
IV00109,21AER0044,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-08-18,2025-09-08,closed,improved
IV00110,23ECE0085,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,worsened
IV00111,23CSE20117,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-09-08,2025-09-29,closed,unreachable
IV00112,23EEE0087,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-10-13,2025-11-03,closed,improved
IV00113,23MEC20038,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,unchanged
IV00114,23CIV20013,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-20,2025-11-10,closed,unreachable
IV00115,23IT0088,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,improved
IV00116,21EEE0073,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,improved
IV00117,21BIO0004,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-10,2025-12-01,closed,unreachable
IV00118,22MEC20114,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,improved
IV00119,23AER0102,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-13,2025-11-03,closed,improved
IV00120,22CSE20060,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,unreachable
IV00121,22AER0006,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-11-10,2025-12-01,closed,unreachable
IV00122,22AER0013,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-08-25,2025-09-15,closed,improved
IV00123,22ECE0066,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-11-17,2025-12-08,closed,improved
IV00124,22CSE20035,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-08,2025-09-29,closed,improved
IV00125,22EEE0089,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,unchanged
IV00126,21BIO0108,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-13,2025-11-03,closed,unreachable
IV00127,23EEE0076,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-11-24,2025-12-15,closed,improved
IV00128,23CSE0071,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,improved
IV00129,22CSE20043,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,unchanged
IV00130,23EEE0110,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,improved
IV00131,22ECE20041,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-11-17,2025-12-08,closed,unchanged
IV00132,22ECE20060,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,unchanged
IV00133,23CIV0049,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-08,2025-09-29,closed,improved
IV00134,21EEE0071,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-13,2025-11-03,closed,unchanged
IV00135,21CIV0007,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-04,2025-08-25,closed,worsened
IV00136,21MEC20095,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-09-01,2025-09-22,closed,worsened
IV00137,22BIO0024,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-09-22,2025-10-13,closed,improved
IV00138,22CHE0057,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-08-11,2025-09-01,closed,improved
IV00139,23EEE0089,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-09-29,2025-10-20,closed,improved
IV00140,21BIO0067,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00141,22IT0017,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-08-18,2025-09-08,closed,improved
IV00142,22ECE0053,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00143,21EEE0115,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-08-25,2025-09-15,closed,improved
IV00144,23BIO0043,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-11-24,2025-12-15,closed,improved
IV00145,21MEC20061,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,improved
IV00146,23CHE0067,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-10-27,2025-11-17,closed,improved
IV00147,21CSE0116,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-08-11,2025-09-01,closed,improved
IV00148,21CSE20047,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-11,2025-09-01,closed,worsened
IV00149,21MEC0073,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-09-01,2025-09-22,closed,improved
IV00150,21CSE0017,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-08-11,2025-09-01,closed,unchanged
IV00151,21CHE0048,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,unchanged
IV00152,23CHE0040,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,worsened
IV00153,23CIV20073,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,improved
IV00154,22MET0062,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,worsened
IV00155,22MET0026,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,unreachable
IV00156,23CIV20005,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,unreachable
IV00157,23CSE0063,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-06,2025-10-27,closed,improved
IV00158,23ECE0001,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-03,2025-11-24,closed,improved
IV00159,22BIO0055,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,unreachable
IV00160,23EEE0072,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,improved
IV00161,21CIV0072,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,improved
IV00162,22MEC20025,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-08-11,2025-09-01,closed,improved
IV00163,21CIV20002,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,improved
IV00164,21BIO0041,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-18,2025-09-08,closed,unreachable
IV00165,23IT0013,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-13,2025-11-03,closed,unchanged
IV00166,23CHE0110,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-17,2025-12-08,closed,improved
IV00167,23AER0100,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,improved
IV00168,23MEC20092,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,worsened
IV00169,22CSE20004,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-29,2025-10-20,closed,unchanged
IV00170,21ECE0068,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00171,23BIO0023,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-04,2025-08-25,closed,unchanged
IV00172,22MEC0106,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-11,2025-09-01,closed,unchanged
IV00173,22ECE0048,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-15,2025-10-06,closed,improved
IV00174,21CHE0102,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-09-22,2025-10-13,closed,improved
IV00175,22CHE0047,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00176,22ECE20054,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,worsened
IV00177,21ECE0104,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-08-25,2025-09-15,closed,worsened
IV00178,22MEC20070,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00179,21CHE0052,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,unreachable
IV00180,23MEC0007,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-18,2025-09-08,closed,unchanged
IV00181,23MEC20003,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00182,21MET0004,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,worsened
IV00183,21CSE20073,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,improved
IV00184,23CSE0096,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-11-03,2025-11-24,closed,improved
IV00185,23ECE0038,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-01,2025-09-22,closed,improved
IV00186,23EEE0025,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-10,2025-12-01,closed,improved
IV00187,22ECE0007,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-27,2025-11-17,closed,unchanged
IV00188,23EEE0020,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,worsened
IV00189,21MEC20002,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-11,2025-09-01,closed,improved
IV00190,22EEE0078,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,improved
IV00191,22IT0055,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,improved
IV00192,21MET0084,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,unchanged
IV00193,23MET0057,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,unreachable
IV00194,22CSE20089,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,improved
IV00195,22MEC0066,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-20,2025-11-10,closed,improved
IV00196,23BIO0003,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-06,2025-10-27,closed,improved
IV00197,22CIV0102,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-17,2025-12-08,closed,improved
IV00198,21CSE20023,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,improved
IV00199,22CSE20013,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-10-13,2025-11-03,closed,unreachable
IV00200,21MEC20070,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-03,2025-11-24,closed,unchanged
IV00201,21CSE0069,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,unreachable
IV00202,23CSE20113,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,improved
IV00203,21MEC20054,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-06,2025-10-27,closed,improved
IV00204,21CIV0033,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-04,2025-08-25,closed,worsened
IV00205,22CSE20014,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-18,2025-09-08,closed,improved
IV00206,21IT0025,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-13,2025-11-03,closed,improved
IV00207,23AER0015,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00208,21CSE20041,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-18,2025-09-08,closed,improved
IV00209,22CSE20066,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-09-01,2025-09-22,closed,worsened
IV00210,21CIV0041,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-27,2025-11-17,closed,unreachable
IV00211,21MEC20065,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-04,2025-08-25,closed,worsened
IV00212,21CHE0085,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-04,2025-08-25,closed,improved
IV00213,21ECE20039,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-08-18,2025-09-08,closed,improved
IV00214,22EEE0042,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,unchanged
IV00215,23EEE0034,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-08-04,2025-08-25,closed,unchanged
IV00216,22ECE20019,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-29,2025-10-20,closed,unchanged
IV00217,21ECE20112,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-11-24,2025-12-15,closed,improved
IV00218,21CIV0034,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-29,2025-10-20,closed,improved
